# Some random stuff
# Tue Apr 29 15:23:43 PDT 2014
# Oh look it's the time^
28.917  21.463  16.868  17.205  31.003
23.078  17.462  10.722  29.377  22.875
32.899  25.769  31.016  19.932  16.572
14.069  18.265  22.606  15.073  30.337
22.950  24.993  27.904  30.559  12.102
12.084  16.993  23.361  25.812  10.726
15.684  13.253  27.451  17.329  12.210
15.955  22.139  13.022  36.149  34.361
11.576  10.775  26.401  25.736  16.647
12.071  17.749  20.664  31.400  13.887
21.011  19.438  15.846  17.802  30.760
33.658  19.561  15.553  29.227  31.701
35.588  16.966  17.713  30.119  26.459
34.982  22.858  31.511  11.848  33.744
21.142  27.573  21.181  35.330  12.641
12.872  33.831  17.530  12.422  27.560
33.097  11.100  21.865  30.990  27.146
18.753  26.664  12.516  20.172  19.193
16.399  11.835  21.035  35.173  30.666
22.643  21.248  30.869  16.159  11.386
11.609  22.191  13.046  11.367  11.872
23.935  16.836  33.418  19.485  18.892
29.828  16.075  27.531  11.855  25.424
32.628  29.584  26.774  23.793  14.751
31.375  35.705  23.543  10.961  22.816
24.450  17.886  35.291  29.658  31.196
31.418  14.453  32.448  33.302  28.627
17.827  19.363  30.622  32.543  14.048
25.629  27.428  12.816  33.965  10.994
32.941  23.100  33.999  16.669  26.378
25.452  25.709  20.745  12.118  34.443
32.504  31.395  12.249  12.266  29.600
25.231  17.306  20.601  21.482  22.704
31.993  17.605  27.059  25.968  29.813
30.997  27.928  34.518  28.785  14.206
24.701  25.414  26.515  25.290  23.808
14.479  14.463  14.510  34.675  23.117
27.067  17.726  24.656  18.099  29.318
26.900  22.346  31.452  28.054  35.067
26.433  28.655  19.695  21.568  25.643
12.433  12.056  11.571  16.294  12.588
23.977  27.577  30.778  33.132  22.155
19.173  18.278  23.198  19.845  27.237
24.426  28.099  16.592  26.883  28.831
20.745  16.945  17.622  19.626  34.469
31.814  23.829  33.021  26.942  24.371
18.566  11.507  35.555  25.660  20.401
26.666  23.355  25.193  11.824  33.694
24.641  11.728  14.493  35.859  11.028
24.054  35.094  22.143  34.748  15.898
15.352  28.864  16.305  33.683  12.684
27.380  35.976  12.760  16.456  30.536
34.685  18.263  35.804  13.318  26.550
22.068  13.215  16.630  11.559  14.991
32.886  13.525  13.431  17.232  26.428
18.046  34.321  31.587  22.703  13.946
24.424  21.974  12.308  29.462  12.334
35.020  15.194  14.794  31.688  15.800
33.052  30.810  29.272  19.271  24.819
28.044  14.876  14.318  32.959  35.999
33.036  12.481  11.976  12.865  23.811
20.044  17.230  16.324  23.654  11.592
14.708  16.702  15.753  33.009  21.866
19.368  26.522  18.533  28.682  19.709
28.042  33.808  31.262  19.992  19.820
23.355  26.784  18.369  14.926  30.812
12.565  32.007  28.196  31.328  32.172
31.070  13.713  27.245  21.523  28.158
35.881  25.906  29.655  28.227  29.810
17.731  18.598  17.393  30.411  16.258
17.534  19.490  34.325  12.099  32.035
12.418  29.603  12.028  12.649  16.786
35.295  26.705  30.041  16.329  19.596
24.787  28.803  21.405  32.851  24.844
17.531  23.725  19.335  17.994  14.683
26.069  17.343  32.883  29.787  18.116
13.540  33.627  19.319  18.246  10.834
23.113  24.240  16.859  16.843  33.900
17.448  14.092  26.200  27.832  27.198
11.706  22.504  16.493  35.470  29.735
34.021  36.110  30.121  35.626  26.995
23.120  24.987  32.929  17.266  12.564
32.293  34.542  23.560  23.428  22.068
35.271  28.268  24.121  12.339  31.192
11.651  33.257  18.268  36.148  27.801
15.993  14.987  13.603  16.727  16.925
32.280  25.747  19.790  33.260  33.287
15.498  21.969  17.332  11.984  25.377
26.854  26.286  16.760  13.050  33.255
21.625  20.694  35.627  24.036  15.056
33.330  23.716  25.431  20.991  29.981
33.987  22.756  28.482  34.609  36.014
29.427  21.570  28.570  12.748  25.396
23.993  31.322  23.379  29.741  20.594
27.963  17.876  26.597  33.405  15.752
34.306  27.262  24.453  14.745  25.940
22.071  30.707  32.002  27.402  20.466
35.502  29.376  22.337  16.814  20.553
21.009  21.496  18.113  22.964  26.942
29.722  17.404  30.733  17.105  28.209
